"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"2e9647a26f7602fa1bfeb52e4b5f74f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"2eb343cdd4e7f8194270bddb086b9f60",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f37611fbd002402d0d7bc5694578944",0,2,182,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"2f49610f9b40af4a510bd644f3efad4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"302c25410e905a32fac3f59019a52c7a",0,0,1,0,13,0,17,0,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0
"3088a14eb98815ddfc6829219fe2ece3",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30e3d72fcbd951def5a57611527d2a91",0,0,17,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0
"325553effac2caa0a5684f0650893e49",0,21,0,0,0,0,0,78,0,0,0,0,0,35,0,0,0,0,0,25,0,0,0,0
"3262a7e70e1dd963244d1d00a2b9281a",55,0,23,11,29,0,22,5,2,14,10,7,15,0,0,22,0,14,5,0,2,2,0,3
"328cdb0f35f0207ed4e3a37e77886853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32e2b928caa17f9c52b5edc922326cbb",0,22,0,22,0,0,0,0,0,1,0,0,0,0,5,0,191,0,0,0,0,0,0,0
"3424612315ed0a562bbdd7a35c5591e1",0,0,0,3,0,0,2,4,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0
"356c928ad2699d60e88ef8385d09af43",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35c84552eab09fbd4ad5b56782e29bac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0
"3763617a6117adc2b98525dea5f83538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"37a735a589da0a94a2ba7b17f800101d",0,1,0,0,0,0,9,0,0,12,1,0,24,0,0,4,5,3,7,0,1,0,0,0
"37d850b040c0ac3ed9b4cf1f31425509",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3878023a8196c382009637ebfe503175",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38ccc9b4b8603b38469c32ab1a7a2c24",0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3990019a6040874110a72374eb15b139",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39ffb9d76fac554e243855153d0b7179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3a579e8e269f7d3f67a4a99df65de414",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3b180b5dd5fed6eac59f8908b236b689",9,3,7,0,0,0,6,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"3c3fd1b0bbd9f4e23e6d0abb65346a7a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"3c604a3201e8ba638398a8022cf81237",0,0,0,0,0,0,0,15,60,0,16,0,0,0,24,9,0,0,0,0,13,0,0,0
"3ed42a2a6a97d92ca05a9def60ae129a",0,1,0,0,11,0,18,1,5,2,0,0,2,5,0,9,0,3,5,0,5,0,0,0
"41152e8a5f5f452a0b48ae0be59bbf64",0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,0,0,0
"41a1e2b189fb844cc6f709b415c7cb03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"4243d90941dd5826c6601bd0d628e752",1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42f44f2edb9c0e7410229cd2b8495308",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42f6f0a22e628bb23bc824261f91e871",0,0,0,9,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,1,0,0
