"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"3262a7e70e1dd963244d1d00a2b9281a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
"328f9549be50f601b725df3641430e89",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34b2939e001a1f713f24adcefc147785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"35f84dab75dd17be6e7b4d3225f2c458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"3763617a6117adc2b98525dea5f83538",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"3793c501bf0a541418452baa5b8abff2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37a735a589da0a94a2ba7b17f800101d",0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,1,0,0,0
"38af1e662318cf6e431fdd84d3af27d0",2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,30,0
"38ccc9b4b8603b38469c32ab1a7a2c24",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3932d0e46a4d42546a84688e5b794142",2,6,26,27,0,8,18,18,13,75,7,7,13,49,13,9,40,41,30,0,58
"3b180b5dd5fed6eac59f8908b236b689",2,0,0,0,2,0,1,0,5,0,1,0,0,0,2,0,2,8,15,2,0
"3c604a3201e8ba638398a8022cf81237",0,0,0,26,1,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0
"3d20d8db719d878b97ac7b9c02a1831c",123,23,109,0,0,0,3,2,14,0,0,8,0,0,67,2,0,4,0,2,0
"3e91b1ff031050a691682d9d8c1af6af",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ed42a2a6a97d92ca05a9def60ae129a",0,2,0,3,1,0,3,9,0,2,0,12,0,0,5,9,4,2,0,24,5
"41152e8a5f5f452a0b48ae0be59bbf64",5,3,0,0,0,0,24,0,7,9,0,0,0,0,6,0,14,5,0,10,9
"4159a75410f099866cc8fadb9f3fbeb7",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
"41611cc955196b78440f38958466937f",0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,495,0,0,0,414
"419bb4dcdf8a17f4af9b17e4abe3d3ec",0,0,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,39,58,150,0
"4229f6f6b749b78b22c0145e14791623",0,0,2,1,2,0,9,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"423a389ee07007839b50a192553f58eb",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"42f6f0a22e628bb23bc824261f91e871",2,0,0,1,0,3,12,0,5,10,11,9,0,5,0,3,11,0,0,5,0
"44be4c7bdd680e21b5d6aa4223ed66a9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44f18c2a1a9016f84975520719122199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
"44fb84495a3bec4529e369e18c8d0165",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0
"458f2463fcf02c892df9dfd7927abe46",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466197a1542d0bbecf11c782b32754d0",0,0,0,2,0,0,0,0,9,67,0,3,0,0,3,0,0,2,0,0,0
"479c85bd49b21ba6a5a00d7b13766555",0,0,0,0,15,0,2,0,0,34,3,17,0,0,0,28,3,11,0,2,5
"47b7cb4025b7d3b0efe74271c4df5ee5",0,0,0,7,1,1,0,0,7,3,2,0,0,5,0,0,4,1,8,0,8
"49121012a5c9a5449c23757d83c0cb7e",2,0,0,0,0,0,1,0,1,0,8,19,3,0,0,0,4,0,0,0,0
"4958646c3477751d2514a0f87cd1b2d2",0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0
"499b187b1bfd265489cfda4b4cb4d8c7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
