"","sample1","sample2","bNRI","RC","Process","Process_contribution"
"KWD.4","KWDTRS5Y_2019","KWDTRS1Y_2019",-2.20282797432119,-0.267,"Environmental filtering",1
"KWD.5","KWDTRS6Y_2019","KWDTRS1Y_2019",-0.37756825831637,1,"Dispersal limitation",1
"KWD.6","KWDTRS3Y_2019","KWDTRS2Y_2019",-0.786347200938404,-0.825,"Ecological Drift",1
"KWD.7","KWDTRS4Y_2019","KWDTRS2Y_2019",-1.52613026230335,0.737,"Ecological Drift",1
"KWD.8","KWDTRS5Y_2019","KWDTRS2Y_2019",-2.1715635559976,-1,"Environmental filtering",1
"KWD.9","KWDTRS6Y_2019","KWDTRS2Y_2019",-0.438860620362198,0.996,"Dispersal limitation",1
"KWD.10","KWDTRS4Y_2019","KWDTRS3Y_2019",-0.588434246908028,0.994,"Dispersal limitation",1
"KWD.11","KWDTRS5Y_2019","KWDTRS3Y_2019",-1.65461144165492,-1,"Homogenizing dispersal",1
"KWD.12","KWDTRS6Y_2019","KWDTRS3Y_2019",0.845705993952665,1,"Dispersal limitation",1
"KWD.13","KWDTRS5Y_2019","KWDTRS4Y_2019",-2.28765496943783,0.645,"Environmental filtering",1
"KWD.14","KWDTRS6Y_2019","KWDTRS4Y_2019",-0.19342922930861,-0.996,"Homogenizing dispersal",1
"KWD.15","KWDTRS6Y_2019","KWDTRS5Y_2019",-0.923924820928227,1,"Dispersal limitation",1
"MP.1","MPTRS2Y_2019","MPTRS1Y_2019",-2.93294826633294,-0.579,"Environmental filtering",1
"MP.2","MPTRS3Y_2019","MPTRS1Y_2019",-2.8142782656412,-0.782,"Environmental filtering",1
"MP.3","MPTRS4Y_2019","MPTRS1Y_2019",-3.14033778936934,-0.973,"Environmental filtering",1
"MP.4","MPTRS5Y_2019","MPTRS1Y_2019",-1.72028157266676,0.833,"Ecological Drift",1
"MP.5","MPTRS6Y_2019","MPTRS1Y_2019",-2.47471776358219,-0.599,"Environmental filtering",1
"MP.6","MPTRS3Y_2019","MPTRS2Y_2019",-2.46560339684989,-0.434,"Environmental filtering",1
"MP.7","MPTRS4Y_2019","MPTRS2Y_2019",-2.72070359041047,-0.801,"Environmental filtering",1
"MP.8","MPTRS5Y_2019","MPTRS2Y_2019",-1.25661840963223,-0.558,"Ecological Drift",1
"MP.9","MPTRS6Y_2019","MPTRS2Y_2019",-2.24272811455503,0.491,"Environmental filtering",1
"MP.10","MPTRS4Y_2019","MPTRS3Y_2019",-2.6885082734887,-0.955,"Environmental filtering",1
"MP.11","MPTRS5Y_2019","MPTRS3Y_2019",-1.07051865278707,0.912,"Ecological Drift",1
"MP.12","MPTRS6Y_2019","MPTRS3Y_2019",-1.97272944938366,-0.784,"Ecological Drift",1
"MP.13","MPTRS5Y_2019","MPTRS4Y_2019",-1.42739533837473,0.982,"Dispersal limitation",1
"MP.14","MPTRS6Y_2019","MPTRS4Y_2019",-2.34701978379049,-0.497,"Environmental filtering",1
"MP.15","MPTRS6Y_2019","MPTRS5Y_2019",-0.85617294054151,0.878,"Ecological Drift",1
"PC.1","PCTRS2Y_2019","PCTRS1Y_2019",-2.20755276357719,-0.854,"Environmental filtering",1
"PC.2","PCTRS3Y_2019","PCTRS1Y_2019",-1.43807564971519,-1,"Homogenizing dispersal",1
"PC.3","PCTRS4Y_2019","PCTRS1Y_2019",-0.921276970050648,-0.915,"Ecological Drift",1
"PC.4","PCTRS5Y_2019","PCTRS1Y_2019",-1.14964011769122,-0.646,"Ecological Drift",1
"PC.5","PCTRS6Y_2019","PCTRS1Y_2019",-1.17483206448388,1,"Dispersal limitation",1
"PC.6","PCTRS3Y_2019","PCTRS2Y_2019",-2.65153334791244,-0.896,"Environmental filtering",1
"PC.7","PCTRS4Y_2019","PCTRS2Y_2019",-2.2346546843966,-0.801,"Environmental filtering",1
"PC.8","PCTRS5Y_2019","PCTRS2Y_2019",-2.66175322362964,-0.99,"Environmental filtering",1
"PC.9","PCTRS6Y_2019","PCTRS2Y_2019",-2.80563535811401,1,"Environmental filtering",1
"PC.10","PCTRS4Y_2019","PCTRS3Y_2019",-1.37200285148103,-0.323,"Ecological Drift",1
"PC.11","PCTRS5Y_2019","PCTRS3Y_2019",-1.58401786099805,-0.957,"Homogenizing dispersal",1
"PC.12","PCTRS6Y_2019","PCTRS3Y_2019",-1.73087582322879,1,"Dispersal limitation",1
"PC.13","PCTRS5Y_2019","PCTRS4Y_2019",-1.71183470180737,-1,"Homogenizing dispersal",1
"PC.14","PCTRS6Y_2019","PCTRS4Y_2019",-1.02657296967685,0.956,"Dispersal limitation",1
"PC.15","PCTRS6Y_2019","PCTRS5Y_2019",-1.20592189389596,0.481,"Ecological Drift",1
"RR.1","RRTRS2Y_2019","RRTRS1Y_2019",0.0318874989323733,-0.185,"Ecological Drift",1
"RR.2","RRTRS3Y_2019","RRTRS1Y_2019",-1.2621592566984,0.836,"Ecological Drift",1
"RR.3","RRTRS4Y_2019","RRTRS1Y_2019",-0.220685249420964,0.858,"Ecological Drift",1
"RR.4","RRTRS5Y_2019","RRTRS1Y_2019",-1.14115165010157,-0.97,"Homogenizing dispersal",1
"RR.5","RRTRS6Y_2019","RRTRS1Y_2019",-1.45071519450861,0.786,"Ecological Drift",1
"RR.6","RRTRS3Y_2019","RRTRS2Y_2019",-0.346593827947928,0.74,"Ecological Drift",1
"RR.7","RRTRS4Y_2019","RRTRS2Y_2019",0.662539445819207,0.773,"Ecological Drift",1
"RR.8","RRTRS5Y_2019","RRTRS2Y_2019",-0.445106690169489,-0.817,"Ecological Drift",1
"RR.9","RRTRS6Y_2019","RRTRS2Y_2019",-0.56512870432991,0.696,"Ecological Drift",1
"RR.10","RRTRS4Y_2019","RRTRS3Y_2019",-0.672407269545093,0.253,"Ecological Drift",1
"RR.11","RRTRS5Y_2019","RRTRS3Y_2019",-1.47171401356685,0.044,"Ecological Drift",1
"RR.12","RRTRS6Y_2019","RRTRS3Y_2019",-1.82604628373032,-0.507,"Ecological Drift",1
"RR.13","RRTRS5Y_2019","RRTRS4Y_2019",-0.517149245195212,-0.693,"Ecological Drift",1
"RR.14","RRTRS6Y_2019","RRTRS4Y_2019",-0.82522506681519,-0.714,"Ecological Drift",1
"RR.15","RRTRS6Y_2019","RRTRS5Y_2019",-1.66342270510421,-0.79,"Ecological Drift",1
"SP.1","SPTRS2Y_2019","SPTRS1Y_2019",-1.98479097415126,-0.379,"Ecological Drift",1
"SP.2","SPTRS3Y_2019","SPTRS1Y_2019",-1.18114758748073,0.207,"Ecological Drift",1
"SP.3","SPTRS4Y_2019","SPTRS1Y_2019",-0.835353679031567,0.642,"Ecological Drift",1
"SP.4","SPTRS5Y_2019","SPTRS1Y_2019",-1.29340320766863,0.871,"Ecological Drift",1
"SP.5","SPTRS6Y_2019","SPTRS1Y_2019",-1.62499164626244,-0.00800000000000001,"Ecological Drift",1
"SP.6","SPTRS3Y_2019","SPTRS2Y_2019",-1.69020933804426,0.965,"Dispersal limitation",1
"SP.7","SPTRS4Y_2019","SPTRS2Y_2019",-1.3180285623432,-0.162,"Ecological Drift",1
"SP.8","SPTRS5Y_2019","SPTRS2Y_2019",-1.73594134524485,-0.379,"Ecological Drift",1
"SP.9","SPTRS6Y_2019","SPTRS2Y_2019",-2.02968235228329,-0.385,"Environmental filtering",1
"SP.10","SPTRS4Y_2019","SPTRS3Y_2019",-0.503193856034152,-0.376,"Ecological Drift",1
"SP.11","SPTRS5Y_2019","SPTRS3Y_2019",-1.02391450695555,1,"Dispersal limitation",1
"SP.12","SPTRS6Y_2019","SPTRS3Y_2019",-1.27814229223588,-0.988,"Homogenizing dispersal",1
"SP.13","SPTRS5Y_2019","SPTRS4Y_2019",-0.552477520432576,0.266,"Ecological Drift",1
"SP.14","SPTRS6Y_2019","SPTRS4Y_2019",-0.942858042532494,-0.739,"Ecological Drift",1
"SP.15","SPTRS6Y_2019","SPTRS5Y_2019",-1.41188714681148,0.649,"Ecological Drift",1
