"","HPC1491","HPC1492","HPC1493","HPC1494","HPC1495","HPC1496","HPC1497","HPC1498","HPC1500","HPC1501","HPC1502","HPC1503","HPC1504","HPC1506","HPC1507","HPC1512","HPC1515","HPC1517","HPC1518","HPC1519","HPC1520","HPC1518KNZ"
"1c299effa3b773466b9704e639802c4f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1c2c4481171be567789843de77e41d11",0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"1db34a3c2faac40962039ce55ddf2e6c",0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"1dbe529017f29b95ce78f5cc38355432",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1e3664d43cb955b61387aa11d1dddfd0",0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0
"1f41f115cb405f2ac7a1db6f0d47013a",0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"1f42e59f79bfc8aa12bf8282c35787eb",0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2031af0ed6bc6004eb969e62bd0624b4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"2046bb0f26fadcdf415fc402a9d93679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"205689b524b6f04b260bfa6f080179bd",97,10,2,77,0,1,22,6,0,7,133,82,0,16,3,0,22,98,5,0,0,4
"205b88c92931ca92e0f146a0e2a47dca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
"20eab86229b9a6f11127b9bcaf770ae8",0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,4,0,0,0,0,0
"21788bb471a631f9d4ccff77592bf508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"21d56555b2e81a477b8fa61bc24770c3",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22793edc9cd9907ce5d798d27d9bea22",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22f5efb426fc7af9ccdd9307b0d8226d",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230512791272401033e01677ec5dc252",2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,2,0,0,5
"237421b5c0a1a11aba872c8d360e6476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"23b935857c2905d6797c0c650fcb117b",1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,5,0,0,0,0,0,0
"23ff866339d87c42420e6b2549251b31",0,31,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"245df955ad249df14defe58e03366b8b",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24791d3d91858737c317d435d768b6aa",1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"253a45f0a1d8a3c886571450ce94062f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"25a56c4f61d8e8d3eb1383204a99164a",0,0,0,0,0,0,74,30,107,0,0,0,4,0,127,0,0,0,0,0,0,0
"261935bf4d4df64dc9206ab7ccfd645e",16,0,0,0,0,0,0,5,0,0,0,0,0,0,15,7,0,0,2,0,7,1
