"","HPC1521","HPC1522","HPC1524","HPC1525","HPC1526","HPC1527","HPC1528","HPC1529","HPC1531","HPC1532","HPC1533","HPC1534","HPC1536","HPC1539","HPC1540","HPC1541","HPC1542","HPC1544","HPC1546","HPC1547","HPC1549","HPC1550"
"3f1c593b98dc141b1801a6df5011ba26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"41152e8a5f5f452a0b48ae0be59bbf64",0,6,0,0,0,0,13,0,0,0,3,0,0,0,2,0,15,0,0,19,0,0
"419648a41ef62253417f790b972dd986",0,0,0,0,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0
"4243d90941dd5826c6601bd0d628e752",0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
"42b4289a186720dc6f14f36c4872aa65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"42f44f2edb9c0e7410229cd2b8495308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"42f6f0a22e628bb23bc824261f91e871",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439fb76ecd2ef62e3fd2fec870c71578",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43c0c64b0402e054e33ce01f58675500",0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"44d03b7de750db6268d79bf3b7b3f565",0,0,1,0,7,0,0,0,1,0,49,0,14,0,0,0,0,0,0,0,0,0
"472e9fd93d7defe466417b5169bd6a50",0,8,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"474958a0926828720ab070eea123ccac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"47cdae9ae61c63c2a74fd0f1f322a096",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"489855189d9686629879eb3ede9486f8",396,91,577,197,26,150,14,8,0,3,0,236,28,33,0,7,152,489,3,402,0,106
"498360bf0e3bea63817172cc8e57f786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"499b187b1bfd265489cfda4b4cb4d8c7",0,0,0,2,0,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49c74be7fb4009b028640abfa37a87b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"4a46814357f11ab6347f1fc0b35bfb21",0,0,0,0,0,0,0,3,0,0,1,0,0,7,0,0,0,4,0,0,5,0
"4aa24e7a15922e1b6971014a2889877d",0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,0,0
"4bade005242553b6a45563dd3e5401ef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"4c3f744326739cfcb797c290083783e5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d48d7ff5be648dbff5d977be48b6c8e",0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"4d4da7446dd75ffbca560cec7ba387e4",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"4da78b69df4941cda0b3c8acc6c55eeb",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4e3b6320d037cf4fbed810cb1424ec8a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1416,0
"4fe5efefb811ac9a2b2759ab0ccd9fd6",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"500827f5eb77cfedcae3579e53ec8c76",27,0,8,26,0,9,12,5,9,61,10,5,37,10,9,19,13,2,15,20,26,36
"501217c7614e0367600aafe0710a5184",3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0
"51194b8233acaff275c41bf94ca2c735",0,0,3,0,20,0,1,0,0,13,0,0,0,0,0,0,0,6,0,0,1,0
"52197dca75d1808bd2fa7e5d033f310f",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"522f17a20b884e53b7e2693b431fce4c",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"5325b623f48091942b79da221094c206",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"535644fbdf865ddd0cc9ea93502a6bbc",0,0,0,0,0,0,1,1,2,4,0,0,6,6,0,0,0,0,0,0,0,0
"53b6ba92f3934bb0f4618a8afcc2d86e",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53ea7c64178dbbce1e1a4722bfaeec1e",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54305693ac20167cca877f883539d0a4",0,0,0,0,0,0,0,8,16,0,0,0,0,45,0,0,0,0,0,0,0,0
"54e1df2289e6a784eaebc42527234aad",2,9,0,0,7,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,6
"54eb8377c15d6d14b418d1ff66294165",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"55b58124016596c4a6b7b2c4b7633efb",70,33,9,4,8,45,0,0,5,44,18,43,6,0,4,26,0,46,110,0,3,20
"55dc227df61b5886c6219fc13e273064",0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"5647003638a528ef4b1ddcf5ff19fbe7",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"5676840dcb48c723631bddfa87256e53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5995e644fe223f3ae9031b8851811d15",0,0,0,0,0,0,0,0,162,0,0,0,0,21,0,0,0,0,0,0,0,0
"5a20b9f9b38234c1dac21cd942876080",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b26a49a4253516b41f51345009b2ab7",0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,7,0
"5b47792bdbd213c22084c334ce7e0238",0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
"5bc648bddeb33a57dc2d0c1c85d2e8e7",5,1,0,13,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0
"5be4a273e1c77677b372ec4c640287e1",0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0
"5d946718213cc12cfb40882a944b8e1f",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5da6db7d5475532af1e5e5bffb5c75f1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5e0b1e533d803d7c69e76c2c42359773",0,0,0,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,16
"5ea389ed11ea65cbf691d96f33d659db",0,22,0,0,58,0,6,17,0,0,0,0,0,0,0,0,0,45,0,0,0,0
"6038cbf29d9df32a9c04c69b9aec44cb",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"61c61a80c63abaac48d84420c7ee8be3",0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0
"61d31bedcdb022077d75c9c804abb782",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61e69e1a969f3c88114b6681867e91c4",0,0,277,0,0,0,0,213,0,23,25,903,367,0,60,6,0,0,0,0,0,10
"61ee8c68c8935743ab3485315d93e44d",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6286fcb15a397cbf63bdd4e9e001c532",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
"62e713a6820fa9b819ef575ab3014c5f",0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
"62e791c27fae2dbd393e2d3b686aff73",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64373927ea9ff19e0f921a0d557d7e24",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"6459e35df31e68362f1c8d56217dc245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"652177b74e1009d99f81843a80698de3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"65316b075919a823fbe3dee2177b2662",0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"65a283039b964b3e1f657a3c88948330",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"65a82a5c911961c932169c0e220e77b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"67dbb76f582ee5bf148f1cbd5681492d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"68520fe031bfb783742426a4f8c6b548",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,0,0,0
"6875c0481fd234d454389a8ed7cc71cf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
