,sample1,sample2,bNRI,RC,Process,Process_contribution
KNZ.52,KNZKNZ2_4Y_2020,KNZKNZ2_3Y_2020,-1.205558971,-0.994,Homogenizing dispersal,1
KNZ.53,KNZKNZ3_1Y_2020,KNZKNZ2_3Y_2020,-1.47109511,-0.953,Homogenizing dispersal,1
KNZ.54,KNZKNZ3_2Y_2020,KNZKNZ2_3Y_2020,-0.842842503,-0.989,Homogenizing dispersal,1
KNZ.55,KNZKNZ3_3Y_2020,KNZKNZ2_3Y_2020,-1.312854705,-0.998,Homogenizing dispersal,1
KNZ.56,KNZKNZ3_4Y_2020,KNZKNZ2_3Y_2020,0.341028044,-0.752,Ecological Drift,1
KNZ.57,KNZKNZ3_1Y_2020,KNZKNZ2_4Y_2020,-2.077161019,-0.785,Environmental filtering,1
KNZ.58,KNZKNZ3_2Y_2020,KNZKNZ2_4Y_2020,-1.475075878,-0.406,Ecological Drift,1
KNZ.59,KNZKNZ3_3Y_2020,KNZKNZ2_4Y_2020,-1.931061836,-0.833,Ecological Drift,1
KNZ.60,KNZKNZ3_4Y_2020,KNZKNZ2_4Y_2020,-0.194447997,-0.802,Ecological Drift,1
KNZ.61,KNZKNZ3_2Y_2020,KNZKNZ3_1Y_2020,-1.581220527,-1,Homogenizing dispersal,1
KNZ.62,KNZKNZ3_3Y_2020,KNZKNZ3_1Y_2020,-2.116543248,-1,Environmental filtering,1
KNZ.63,KNZKNZ3_4Y_2020,KNZKNZ3_1Y_2020,-0.567740446,-1,Homogenizing dispersal,1
KNZ.64,KNZKNZ3_3Y_2020,KNZKNZ3_2Y_2020,-1.502970257,-1,Homogenizing dispersal,1
KNZ.65,KNZKNZ3_4Y_2020,KNZKNZ3_2Y_2020,0.110779929,-1,Homogenizing dispersal,1
KNZ.66,KNZKNZ3_4Y_2020,KNZKNZ3_3Y_2020,-0.451395138,-1,Homogenizing dispersal,1
KWD.1,KWDTRS1Y_2019,KWDTRS1Y_2018,-2.230120426,-0.415,Environmental filtering,1
KWD.2,KWDTRS2Y_2018,KWDTRS1Y_2018,-1.46123321,-0.059,Ecological Drift,1
KWD.3,KWDTRS2Y_2019,KWDTRS1Y_2018,-1.9560682,-0.515,Ecological Drift,1
KWD.4,KWDTRS3Y_2018,KWDTRS1Y_2018,-1.025872567,-0.278,Ecological Drift,1
KWD.5,KWDTRS3Y_2019,KWDTRS1Y_2018,-1.105039621,-0.404,Ecological Drift,1
KWD.6,KWDTRS4Y_2018,KWDTRS1Y_2018,-1.489797474,0.603,Ecological Drift,1
KWD.7,KWDTRS4Y_2019,KWDTRS1Y_2018,-1.975063203,-0.452,Ecological Drift,1
KWD.8,KWDTRS5Y_2019,KWDTRS1Y_2018,-2.384880729,-0.703,Environmental filtering,1
KWD.9,KWDTRS6Y_2019,KWDTRS1Y_2018,-1.217397676,0.947,Ecological Drift,1
KWD.10,KWDTRS2Y_2018,KWDTRS1Y_2019,-1.638011098,0.209,Ecological Drift,1
KWD.11,KWDTRS2Y_2019,KWDTRS1Y_2019,-2.188838786,-0.209,Environmental filtering,1
KWD.12,KWDTRS3Y_2018,KWDTRS1Y_2019,-1.227834048,1,Dispersal limitation,1
KWD.13,KWDTRS3Y_2019,KWDTRS1Y_2019,-1.192248381,-0.916,Ecological Drift,1
KWD.14,KWDTRS4Y_2018,KWDTRS1Y_2019,-1.742138394,0.984,Dispersal limitation,1
KWD.15,KWDTRS4Y_2019,KWDTRS1Y_2019,-2.293555854,0.585,Environmental filtering,1
KWD.16,KWDTRS5Y_2019,KWDTRS1Y_2019,-2.855574512,-0.998,Environmental filtering,1
KWD.17,KWDTRS6Y_2019,KWDTRS1Y_2019,-1.165126828,0.938,Ecological Drift,1
KWD.18,KWDTRS2Y_2019,KWDTRS2Y_2018,-1.460372256,-0.701,Ecological Drift,1
KWD.19,KWDTRS3Y_2018,KWDTRS2Y_2018,-0.305984822,0.223,Ecological Drift,1
KWD.20,KWDTRS3Y_2019,KWDTRS2Y_2018,-0.50873364,-0.431,Ecological Drift,1
KWD.21,KWDTRS4Y_2018,KWDTRS2Y_2018,-0.901384639,0.227,Ecological Drift,1
KWD.22,KWDTRS4Y_2019,KWDTRS2Y_2018,-1.434126987,0.267,Ecological Drift,1
KWD.23,KWDTRS5Y_2019,KWDTRS2Y_2018,-2.143432522,0.055,Environmental filtering,1
KWD.24,KWDTRS6Y_2019,KWDTRS2Y_2018,-0.420667437,0.98,Dispersal limitation,1
KWD.25,KWDTRS3Y_2018,KWDTRS2Y_2019,-1.321997335,-0.011,Ecological Drift,1
KWD.26,KWDTRS3Y_2019,KWDTRS2Y_2019,-1.368648165,-1,Homogenizing dispersal,1
KWD.27,KWDTRS4Y_2018,KWDTRS2Y_2019,-1.738202243,-0.587,Ecological Drift,1
KWD.28,KWDTRS4Y_2019,KWDTRS2Y_2019,-2.092702437,-0.335,Environmental filtering,1
KWD.29,KWDTRS5Y_2019,KWDTRS2Y_2019,-2.688900534,-1,Environmental filtering,1
KWD.30,KWDTRS6Y_2019,KWDTRS2Y_2019,-1.108262794,0.925,Ecological Drift,1
KWD.31,KWDTRS3Y_2019,KWDTRS3Y_2018,-0.341273684,-0.044,Ecological Drift,1
KWD.32,KWDTRS4Y_2018,KWDTRS3Y_2018,-0.648904516,-0.845,Ecological Drift,1
KWD.33,KWDTRS4Y_2019,KWDTRS3Y_2018,-1.124244739,-0.202,Ecological Drift,1
KWD.34,KWDTRS5Y_2019,KWDTRS3Y_2018,-2.342627244,-0.861,Environmental filtering,1
KWD.35,KWDTRS6Y_2019,KWDTRS3Y_2018,0.249139306,0.923,Ecological Drift,1
KWD.36,KWDTRS4Y_2018,KWDTRS3Y_2019,-0.94365603,-0.111,Ecological Drift,1
KWD.37,KWDTRS4Y_2019,KWDTRS3Y_2019,-1.290132897,0.251,Ecological Drift,1
KWD.38,KWDTRS5Y_2019,KWDTRS3Y_2019,-2.257364734,-1,Environmental filtering,1
KWD.39,KWDTRS6Y_2019,KWDTRS3Y_2019,0.004019608,0.983,Dispersal limitation,1
KWD.40,KWDTRS4Y_2019,KWDTRS4Y_2018,-1.566977319,-0.677,Ecological Drift,1
KWD.41,KWDTRS5Y_2019,KWDTRS4Y_2018,-2.702488306,-0.844,Environmental filtering,1
KWD.42,KWDTRS6Y_2019,KWDTRS4Y_2018,-0.364073054,0.958,Dispersal limitation,1
KWD.43,KWDTRS5Y_2019,KWDTRS4Y_2019,-2.915633904,-0.615,Environmental filtering,1
KWD.44,KWDTRS6Y_2019,KWDTRS4Y_2019,-0.860935929,-1,Homogenizing dispersal,1
KWD.45,KWDTRS6Y_2019,KWDTRS5Y_2019,-1.623708958,0.907,Ecological Drift,1
MP.1,MPTRS2Y_2019,MPTRS1Y_2019,-2.858217139,-0.518,Environmental filtering,1
MP.2,MPTRS3Y_2019,MPTRS1Y_2019,-2.913532783,-0.804,Environmental filtering,1
MP.3,MPTRS4Y_2019,MPTRS1Y_2019,-3.109121546,-0.972,Environmental filtering,1
MP.4,MPTRS5Y_2019,MPTRS1Y_2019,-1.770106192,0.842,Ecological Drift,1
MP.5,MPTRS6Y_2019,MPTRS1Y_2019,-2.367008187,-0.552,Environmental filtering,1
MP.6,MPTRS3Y_2019,MPTRS2Y_2019,-2.39119873,-0.542,Environmental filtering,1
MP.7,MPTRS4Y_2019,MPTRS2Y_2019,-2.661503276,-0.793,Environmental filtering,1
