"","HPC1581","HPC1583","HPC1584","HPC1585","HPC1586","HPC1587","HPC1589","HPC1591","HPC1592","HPC1594","HPC1596","HPC1597","HPC1599","HPC1600","HPC1601","HPC1602","HPC1603","HPC1605","HPC1607","HPC1608","HPC1609","HPC1610"
"2628bc3ce0449352d3090092eba9ebc8",63,33,30,28,13,11,69,11,23,8,16,40,11,9,13,2,5,25,42,13,54,15
"26f339506d88e7b057613ee1c5bc510d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2826584c4dae42748e6c34f9a192d6ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"2849ae4e04864aa470fcafd5f8c86473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"29670356fdb03864e33ec98c626a9af7",0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29b7cd6352becc322414fa5fe983e206",0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"2bc3a8be44773e80d2ad7e283df00376",0,0,1,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"2e424c331fd4cc1ff133695d5b9514cd",0,0,0,0,0,99,0,0,0,0,0,0,20,133,0,0,0,1,0,0,0,0
"2f37611fbd002402d0d7bc5694578944",4,16,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2f49610f9b40af4a510bd644f3efad4b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0
"2fc3fccc4403a7a8759e3ef943738c28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"302c25410e905a32fac3f59019a52c7a",3,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,10,3,0,0,0,0
"30e3d72fcbd951def5a57611527d2a91",0,24,0,8,0,3,0,4,0,6,3,53,0,55,0,0,0,0,0,2,0,4
"325553effac2caa0a5684f0650893e49",0,4,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"3262a7e70e1dd963244d1d00a2b9281a",12,8,2,0,0,3,9,7,0,0,9,4,1,0,19,1,11,2,0,1,3,4
"333bbc214b6947b8d7796ace0aefa3bf",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338c1b853eb62521e948eea620bd694e",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3424612315ed0a562bbdd7a35c5591e1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
