,Kingdom,Phylum,Class,Order,Family,Genera,Species
189,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,
193,k__Fungi,,,,,,
195,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,g__Clitopilus,s__unidentified
197,k__Fungi,p__Ascomycota,c__Dothideomycetes,,,,
198,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
200,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Efibulobasidium,s__unidentified
202,k__Fungi,p__Ascomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
204,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Dermoloma,
205,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,
206,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__unidentified
208,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
209,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__unidentified,g__unidentified,s__unidentified
211,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Teichosporaceae,g__Teichospora,
212,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,,
214,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__unidentified,g__unidentified,s__unidentified
216,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
217,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Minutisphaerales,f__Minutisphaeraceae,g__Minutisphaera,
220,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,g__Flagelloscypha,s__unidentified
221,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,,
222,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,,
223,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
224,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__unidentified
225,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,
226,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,
227,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,
228,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Ophioceras,s__unidentified
229,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Psathyrella,
230,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,,,
232,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
238,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
239,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
241,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,,,
243,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,
244,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
246,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae,g__Gongronella,s__unidentified
248,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,,
249,k__Fungi,,,,,,
250,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
251,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__unidentified
253,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__unidentified,g__unidentified,s__unidentified
254,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
256,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Entolomataceae,,
257,k__Fungi,p__Ascomycota,c__Archaeorhizomycetes,o__Archaeorhizomycetales,f__Archaeorhizomycetaceae,g__Archaeorhizomyces,s__unidentified
